election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,501 - GREENVILLE,165,,819,64,2,1050,2246,77,2323,47%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,502 - MIDDLEBROOK,48,,385,20,4,457,892,28,920,51%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,503 - SPOTTSWOOD,61,,509,29,,599,1248,58,1306,48%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,504 - WHITE HILL,225,,940,78,11,1254,3165,193,3358,40%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,601 - SHERANDO,61,,633,42,1,737,1839,84,1923,40%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,602 - RIDGEVIEW,161,,841,78,3,1083,2665,84,2749,41%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,603 - LYNDHURST,84,,542,40,3,669,1459,54,1513,46%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,604 - MOUNT VERNON,187,,615,70,2,874,2100,81,2181,42%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,801 - DOOMS,146,,632,50,2,830,1956,52,2008,42%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,802 - FISHERSVILLE,421,,1046,150,13,1630,3643,206,3849,45%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,803 - LADD,96,,363,33,1,493,1086,48,1134,45%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,804 - GOOSE CREEK,148,,509,57,2,716,1489,54,1543,48%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,AUGUSTA COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,101 - WARM SPRINGS,102,2,207,8,,319,545,34,579,59%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,102 - MOUNTAIN GROVE,7,0,47,1,,55,90,1,91,61%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,201 - HOT SPRINGS,61,3,214,10,,288,600,39,639,48%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,301 - FAIRVIEW,31,2,225,17,,275,523,17,540,53%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,302 - BURNSVILLE,9,2,57,1,,69,118,8,126,58%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,401 - MILLBORO,31,2,299,13,,345,677,29,706,51%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,501 - HEALING SPRINGS,38,4,296,15,,353,650,34,684,54%
2023 November General and Special Elections,11/7/2023 0:00,BATH COUNTY,BATH COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,101 - GOODVIEW ELEM SCHOOL,111,6,788,69,3,977,2727,128,2855,36%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,102 - HARDY VOL FIRE CO,20,,439,25,,484,1106,49,1155,44%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,103 - CHAMBLISSBURG BAPTIST CHURCH,103,3,619,39,3,767,1924,86,2010,40%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,104 - BARNHARDT BAPTIST CHURCH,45,4,432,31,,512,1532,60,1592,33%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,105 - DIAMOND HILL BAPTIST CHURCH,86,3,348,22,,459,1265,63,1328,36%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,201 - BEDFORD CHRISTIAN CHURCH,69,2,271,22,1,365,975,41,1016,37%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,202 - STAUNTON RIVER HIGH SCHOOL,96,2,496,29,,623,1673,46,1719,37%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,203 - EASTLAKE COMMUNITY CHURCH,208,3,648,84,6,949,2583,119,2702,37%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,204 - HUDDLESTON ELEMENTARY SCHOOL,112,1,481,26,1,621,1568,59,1627,40%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,205 - SAUNDERS VOL FIRE CO,171,3,785,65,5,1029,2092,105,2197,49%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,301 - NEW LONDON ACADEMY,201,14,1014,91,13,1333,2647,125,2772,50%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,302 - BEDFORD COUNTY GYM,313,2,593,36,2,946,2247,88,2335,42%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,303 - FOREST ALLIANCE CHURCH,82,2,443,56,1,584,1158,47,1205,50%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,304 - FREEDOM BAPTIST CHURCH,49,1,390,21,,461,1034,47,1081,45%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,305 - FOREST FIRE STATION #2,139,4,501,50,6,700,1592,60,1652,44%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,401 - FOREST ELEMENTARY SCHOOL,169,12,1105,102,5,1393,3011,181,3192,46%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,402 - THOMAS JEFFERSON ELEM SCHOOL,144,5,883,93,6,1131,2413,121,2534,47%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,403 - PLEASANT VIEW BAPTIST CHURCH,162,11,823,115,2,1113,2434,169,2603,46%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,404 - FOREST RECREATION CENTER,32,2,310,19,3,366,1106,91,1197,33%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,501 - BIG ISLAND ELEMENTARY SCHOOL,60,1,538,37,,636,1536,42,1578,41%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,502 - SUCK SPRING BAPTIST CHURCH,86,1,467,27,1,582,1188,36,1224,49%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,503 - BOONSBORO ELEMENTARY SCHOOL,89,11,947,133,5,1185,2345,102,2447,51%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,504 - BOONSBORO RURITAN CLUB,179,14,1358,140,11,1702,3703,167,3870,46%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,601 - MONTVALE ELEM SCHOOL,73,2,673,33,5,786,1881,81,1962,42%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,602 - SHADY GROVE FIRE DEPARTMENT,85,1,661,47,2,796,2319,91,2410,34%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,603 - BEDFORD MOOSE LODGE ,109,1,387,22,,519,1273,36,1309,41%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,604 - BEDFORD WELCOME CENTER,284,4,640,71,6,1005,2690,145,2835,37%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,701 - GOODE VOL RESCUE SQUAD,141,10,996,65,5,1217,2583,74,2657,47%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,702 - LIBERTY HIGH SCHOOL,189,3,419,19,3,633,1608,55,1663,39%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,703 - THAXTON BAPTIST CHURCH ,131,2,412,26,1,572,1327,35,1362,43%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,704 - BEDFORD CENTRAL LIBRARY,398,3,624,87,2,1114,2503,98,2601,45%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,705 - MOUNTAIN VIEW CHURCH,20,3,124,10,,157,438,26,464,36%
2023 November General and Special Elections,11/7/2023 0:00,BEDFORD COUNTY,BEDFORD COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,101 - BASTIAN,36,,229,15,,280,522,56,578,54%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,102 - CERES,66,,243,18,,327,576,35,611,57%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,201 - DAVIS,15,1,68,10,,94,202,19,221,47%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,202 - SEDDON,163,,387,12,,562,894,77,971,63%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,301 - HOLLYBROOK,40,2,299,8,,349,595,32,627,59%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,302 - MECHANICSBURG,35,,177,3,,215,355,17,372,61%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,401 - ROCKY GAP,87,,421,38,,546,1125,120,1245,49%
2023 November General and Special Elections,11/7/2023 0:00,BLAND COUNTY,BLAND COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,101 - DALEVILLE,259,9,1019,82,1,1370,3233,155,3388,42%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,102 - GREENFIELD,231,4,832,113,1,1181,2383,61,2444,50%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,201 - BLUE RIDGE,126,5,915,81,1,1128,2552,112,2664,44%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,202 - RAINBOW FOREST,137,3,922,70,2,1134,2548,87,2635,45%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,301 - BUCHANAN,157,10,780,45,,992,2350,82,2432,42%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,302 - MILL CREEK,234,1,773,53,1,1062,2543,97,2640,42%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,403 - EAGLE ROCK,117,4,612,28,2,763,1635,52,1687,47%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,406 - FINCASTLE,549,7,1079,68,1,1704,3418,116,3534,50%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,501 - TROUTVILLE,95,1,461,52,2,611,1592,36,1628,38%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,502 - CLOVERDALE,278,9,1114,124,3,1528,3323,96,3419,46%
2023 November General and Special Elections,11/7/2023 0:00,BOTETOURT COUNTY,BOTETOURT COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BRISTOL CITY,001 - FIRST WARD,15,3,216,41,0,275,2231,279,2510,12%
2023 November General and Special Elections,11/7/2023 0:00,BRISTOL CITY,002 - SECOND WARD,51,6,309,62,3,431,2611,400,3011,17%
2023 November General and Special Elections,11/7/2023 0:00,BRISTOL CITY,003 - THIRD WARD,31,3,142,29,0,205,2312,370,2682,9%
2023 November General and Special Elections,11/7/2023 0:00,BRISTOL CITY,004 - FOURTH WARD,48,1,442,90,5,586,3900,386,4286,15%
2023 November General and Special Elections,11/7/2023 0:00,BRISTOL CITY,BRISTOL CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,101 - BRODNAX,27,,198,4,,229,529,18,547,43%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,102 - ROCK STORE,88,,284,23,1,396,838,28,866,47%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,103 - TILLMAN,79,,396,41,,516,1029,49,1078,50%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,201 - DROMGOOLE,27,,117,24,,168,303,10,313,55%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,202 - EDGERTON,175,3,256,49,,483,1061,60,1121,46%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,203 - FITZHUGH,125,2,281,25,,433,825,23,848,52%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,301 - ALBERTA,17,,72,7,,96,212,11,223,45%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,302 - DANIELTOWN,118,,361,38,1,518,930,45,975,56%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,303 - ELMORE,67,2,170,17,,256,474,15,489,54%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,304 - SEYMOUR,39,1,163,14,,217,458,18,476,47%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,401 - STURGEON,255,3,454,63,,775,1558,55,1613,50%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,402 - KING'S STORE,81,,165,17,,263,498,10,508,53%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,501 - TOTARO,410,1,419,121,,951,1933,117,2050,49%
2023 November General and Special Elections,11/7/2023 0:00,BRUNSWICK COUNTY,BRUNSWICK COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,102 - BLACKEY,34,2,212,8,,256,581,21,602,44%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,103 - HURLEY,77,6,472,27,,582,1554,75,1629,37%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,201 - GRASSY,11,1,77,1,,90,189,6,195,48%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,202 - BULL,61,2,370,18,,451,891,38,929,51%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,203 - ROCKLICK,59,2,338,24,2,425,1022,48,1070,42%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,301 - SLATE,92,4,341,29,,466,1172,42,1214,40%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,302 - NORTH GRUNDY,93,6,270,9,,378,999,74,1073,38%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,403 - SOUTH GRUNDY,114,2,303,13,,432,993,57,1050,44%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,404 - OAKWOOD,14,,37,1,,52,128,9,137,41%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,405 - Grundy,82,1,157,2,1,243,556,48,604,44%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,501 - PRATER,31,7,263,10,,311,870,36,906,36%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,502 - FOX,15,,81,11,,107,271,18,289,39%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,503 - VANSANT,106,2,279,23,,410,817,31,848,50%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,601 - COUNCIL,35,6,275,21,1,338,586,20,606,58%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,602 - GARDEN,45,3,315,14,,377,848,34,882,44%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,603 - HURRICANE,22,2,235,15,,274,540,28,568,51%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,701 - WHITEWOOD,59,1,308,19,,387,1103,59,1162,35%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,702 - CONTRARY,31,3,297,11,,342,837,40,877,41%
2023 November General and Special Elections,11/7/2023 0:00,BUCHANAN COUNTY,BUCHANAN COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,101 - NEW CANTON,101,0,402,34,3,540,1592,93,1685,34%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,201 - WHITE HALL,190,2,381,31,0,604,1475,99,1574,41%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,301 - CURDSVILLE,70,1,360,25,0,456,948,64,1012,48%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,302 - NEW STORE,96,0,177,13,0,286,550,42,592,52%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,401 - MAYSVILLE,215,3,409,41,1,669,1566,108,1674,43%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,501 - WRIGHTS,46,1,134,6,1,188,517,34,551,36%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,502 - GLENMORE,85,2,302,31,2,422,953,71,1024,44%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,601 - SLATE RIVER,50,1,184,7,0,242,755,56,811,32%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,602  - GEORGIA CREEK,83,0,172,36,2,293,874,71,945,34%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,701 - GOLD HILL,99,1,295,14,3,412,1111,65,1176,37%
2023 November General and Special Elections,11/7/2023 0:00,BUCKINGHAM COUNTY,BUCKINGHAM COUNTY PROVISIONALS,,0,,,,0,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,BUENA VISTA CITY,001 - FIRST WARD,195,6,564,66,1,832,2111,139,2250,39%
2023 November General and Special Elections,11/7/2023 0:00,BUENA VISTA CITY,002 - SECOND WARD,127,4,377,41,2,551,1795,373,2168,31%
2023 November General and Special Elections,11/7/2023 0:00,BUENA VISTA CITY,BUENA VISTA CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,101 - BROOKVILLE,169,12,1116,94,6,1397,2847,195,3042,49%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,102 - NEW LONDON,141,18,966,64,4,1193,2717,254,2971,44%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,201 - WALKER,85,15,821,69,2,992,2664,248,2912,37%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,202 - BEDFORD SPRINGS,213,9,997,62,5,1286,2791,175,2966,46%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,301 - EVINGTON,65,7,554,23,,649,1444,60,1504,45%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,302 - OTTER RIVER,157,6,702,36,,901,1916,86,2002,47%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,303 - ALTAVISTA,77,10,754,68,1,910,2221,134,2355,41%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,401 - THREE FORKS,241,8,902,34,4,1189,2050,63,2113,58%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,402 - COURT HOUSE,493,11,1236,99,4,1843,3982,159,4141,46%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,501 - SPRING HILL,250,7,970,83,2,1312,3325,299,3624,39%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,502 - YELLOW BRANCH,191,6,756,48,4,1005,2076,88,2164,48%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,601 - KINGS,203,6,673,76,,958,2495,139,2634,38%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,602 - CONCORD,296,6,1084,81,1,1468,2983,98,3081,49%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,701 - BROOKNEAL,29,6,239,18,1,293,644,36,680,45%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,702 - GLADYS,400,8,1065,95,3,1571,3459,121,3580,45%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,703 - MORRIS CHURCH,113,4,546,24,,687,1354,47,1401,51%
2023 November General and Special Elections,11/7/2023 0:00,CAMPBELL COUNTY,CAMPBELL COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,101 - BOWLING GREEN,281,5,744,59,,1089,2360,177,2537,46%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,102 - SPARTA,122,3,516,36,1,678,1415,92,1507,48%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,201 - NORTH MADISON,52,5,454,39,3,553,1425,93,1518,39%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,202 - SOUTH MADISON,194,8,724,108,4,1038,2541,159,2700,41%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,301 - PORT ROYAL,60,8,329,29,2,428,942,100,1042,45%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,302 - WOODFORD,96,11,627,50,,784,1978,113,2091,40%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,303 - WRIGHTS CHAPEL,15,0,100,11,,126,438,42,480,29%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,401 - DAWN,202,2,860,120,3,1187,2783,162,2945,43%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,402 - CARMEL CHURCH,70,1,342,19,1,433,901,46,947,48%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,501 - WEST MATTAPONI,177,8,489,68,,742,1804,106,1910,41%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,502 - MILFORD,147,4,406,56,,613,1609,94,1703,38%
2023 November General and Special Elections,11/7/2023 0:00,CAROLINE COUNTY,601 - CHILESBURG,74,7,631,69,1,782,1994,174,2168,39%
